rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0016.jpg,6.4,0.7719,0.7438,0.6667,1.0,7,4,False,True
2,frame_0319.jpg,127.6,0.7631,0.8142,1.0,0.28,10,6,False,True
3,frame_0299.jpg,119.6,0.7277,0.7475,0.8333,0.52,8,5,False,True
4,frame_0021.jpg,8.4,0.7237,0.7474,0.5,1.0,7,3,False,True
5,frame_0229.jpg,91.6,0.7143,0.7966,1.0,0.08,9,6,False,True
6,frame_0075.jpg,30.0,0.7056,0.6272,0.6667,0.96,7,4,False,True
7,frame_0176.jpg,70.4,0.702,0.808,0.8333,0.24,9,5,False,True
8,frame_0193.jpg,77.2,0.7016,0.9072,0.6667,0.24,6,4,False,True
9,frame_0005.jpg,2.0,0.7012,0.7024,0.5,1.0,5,3,False,True
10,frame_0316.jpg,126.4,0.6858,0.8077,0.8333,0.16,8,5,False,False
11,frame_0002.jpg,0.8,0.6813,0.7626,0.3333,1.0,9,2,False,False
12,frame_0378.jpg,151.2,0.6783,0.8246,0.8333,0.08,12,5,False,True
13,frame_0307.jpg,122.8,0.6777,0.6753,1.0,0.2,11,6,False,True
14,frame_0205.jpg,82.0,0.6731,0.8583,0.3333,0.72,2,2,False,True
15,frame_0007.jpg,2.8,0.6726,0.6452,0.5,1.0,5,3,False,False
16,frame_0133.jpg,53.2,0.6636,0.6272,0.5,1.0,9,3,False,False
17,frame_0086.jpg,34.4,0.6587,0.7094,0.6667,0.52,5,4,False,False
18,frame_0067.jpg,26.8,0.6517,0.9034,0.0,1.0,9,0,False,False
19,frame_0074.jpg,29.6,0.6478,0.5955,0.5,1.0,8,3,False,False
20,frame_0077.jpg,30.8,0.6461,0.5401,0.6667,0.88,8,4,False,False
21,frame_0291.jpg,116.4,0.6432,0.7504,0.3333,0.84,7,2,False,False
22,frame_0290.jpg,116.0,0.64,0.6599,0.5,0.8,7,3,False,False
23,frame_0278.jpg,111.2,0.6282,0.7284,0.6667,0.32,8,4,False,False
24,frame_0129.jpg,51.6,0.6265,0.7011,0.3333,0.88,6,2,False,False
25,frame_0109.jpg,43.6,0.617,0.802,0.6667,0.08,9,4,False,False
26,frame_0031.jpg,12.4,0.6153,0.6306,0.3333,1.0,8,2,False,False
27,frame_0030.jpg,12.0,0.6147,0.5294,0.5,1.0,7,3,False,False
28,frame_0296.jpg,118.4,0.6134,0.6708,0.5,0.64,7,3,False,False
29,frame_0223.jpg,89.2,0.6055,0.647,0.8333,0.16,8,5,False,False
